,ts,ne,mf,score,mae,time
2237,0.2,1,,-0.056099901606588176,0.049143724485916494,0.4048463001381606
2238,0.2,2,sqrt,0.1981617237626162,0.04444898937662154,0.18121870001778007
2239,0.2,2,log2,0.18845668801124027,0.04379084714121846,0.19558129995130002
2240,0.2,2,,0.14558580898166418,0.04472565634203435,0.5446128000039607
2241,0.2,3,sqrt,0.29170084182538447,0.04068898009869477,0.3423911000136286
2242,0.2,3,log2,0.2737488300339763,0.04166934268918619,0.32886969996616244
2243,0.2,3,,0.25110173925739954,0.04209582320781958,1.0297844999004155
2244,0.2,4,sqrt,0.350323802165838,0.038716096130233864,0.683261799858883
2245,0.2,4,log2,0.34096469226130954,0.03881067745566394,0.6456281000282615
2246,0.2,4,,0.2990688463521929,0.039930818126373134,2.2640702000353485
2247,0.2,5,sqrt,0.3675839803695443,0.03759137655769186,1.2818945001345128
2248,0.2,5,log2,0.3576453497214568,0.037816228172109424,1.3468041999731213
2249,0.2,5,,0.33055959281780223,0.03852942312050135,4.2980279000476
2250,0.2,6,sqrt,0.38273512620878813,0.03682942351513467,2.641958300024271
2251,0.2,6,log2,0.37632169177001606,0.03663659824687601,2.571818499825895
2252,0.2,6,,0.3371366399478064,0.038040158293683235,8.598255100194365
2253,0.2,7,sqrt,0.3874623170204389,0.036164684382299035,5.144178200047463
2254,0.2,7,log2,0.3840337793613289,0.036075932196708765,5.160623900126666
2255,0.2,7,,0.341961772767966,0.037642265281268024,17.2868878999725
2256,0.3,0,sqrt,-0.35528326773432317,0.05179230762104668,0.1561839000787586
2257,0.3,0,log2,-0.5628374036003374,0.055587373632511546,0.1434917999431491
2258,0.3,0,,-0.48468288083931044,0.05458268666192835,0.3605686000082642
2259,0.3,1,sqrt,-0.12258466085845621,0.04965919142891787,0.16985659999772906
2260,0.3,1,log2,-0.10658683977666583,0.04939003244685491,0.19267029990442097
2261,0.3,1,,-0.09701613816535648,0.04924693263454054,0.4629200999625027
2262,0.3,2,sqrt,0.11101452850145888,0.0445775305267209,0.16129090008325875
2263,0.3,2,log2,0.13163748373209605,0.04406413482047694,0.16404800000600517
2264,0.3,2,,0.08238345115267087,0.04628665140288628,0.5164204000029713
2265,0.3,3,sqrt,0.23378693419992724,0.04143263925609255,0.4121975000016391
2266,0.3,3,log2,0.23832622987225704,0.041316113192720196,0.44048139988444746
2267,0.3,3,,0.2072560936799206,0.042213821994617345,0.9766848001163453
2268,0.3,4,sqrt,0.2914935749739441,0.03902088195406742,0.7624808999244124
2269,0.3,4,log2,0.2876558044739932,0.03917289657750488,0.7550128998700529
2270,0.3,4,,0.26509269561158366,0.04028140088810371,1.9230939999688417
2271,0.3,5,sqrt,0.31354665782678726,0.037992816908373576,1.1816921001300216
2272,0.3,5,log2,0.3094763549046107,0.037842238223121286,1.2568876000586897
2273,0.3,5,,0.28886652632062015,0.03855138873714032,3.6860793998930603
2274,0.3,6,sqrt,0.32255338782614273,0.0370248499848231,2.4633452999405563
2275,0.3,6,log2,0.32545096163688336,0.03707774678818634,2.351994500029832
2276,0.3,6,,0.29737350924103667,0.03801667859579473,7.59853810002096
2277,0.3,7,sqrt,0.33501064707627537,0.036501741799609945,4.606995599810034
2278,0.3,7,log2,0.3324046341976984,0.03633935489747027,4.411362699931487
2279,0.3,7,,0.30111549506828483,0.037712769995716384,14.815692099975422
2280,0.4,0,sqrt,-0.5540522470735765,0.056986283330318105,0.10896009998396039
2281,0.4,0,log2,-0.4407134516690532,0.05446129677556698,0.0829670000821352
2282,0.4,0,,-0.4717479469183161,0.05523922980162449,0.25169870001263916
2283,0.4,1,sqrt,-0.07995519984809651,0.04959076281317423,0.11284899991005659
2284,0.4,1,log2,-0.03465920790318555,0.048537795302654625,0.11266790004447103
2285,0.4,1,,-0.0900107086265145,0.05017033007541696,0.27807129989378154
2286,0.4,2,sqrt,0.0977824088634639,0.04614101690840928,0.13325880002230406
2287,0.4,2,log2,0.15018734150996393,0.044744868927852864,0.16153939999639988
2288,0.4,2,,0.10521867246322913,0.045459044294672186,0.39602710003964603
2289,0.4,3,sqrt,0.22203405002003107,0.04218507375398451,0.2595271999016404
2290,0.4,3,log2,0.2147557166250439,0.04227791175239929,0.2684371001087129
2291,0.4,3,,0.2017504933817208,0.04321724527183307,0.8488924999255687
2292,0.4,4,sqrt,0.271474526983398,0.04003042381749844,0.5722514998633415
