,model,mse,rmse,mae,r2,mape,time
139,Bagging,12260703.39075054,3501.5287219656702,1801.047748796296,0.9123434321432222,6372384972746503.0,1.9281152000185102
140,Boosting,10515518.56678267,3242.7640319305797,1648.1547436621927,0.9248204415830039,1.8766953851660765e+17,5.860694400034845
141,Random Forest,12121006.581658695,3481.5236006177947,1775.2131184560185,0.9133421793141857,7916357348147663.0,15.475092199980281
142,XGBoost,12614396.82471225,3551.675213855041,1902.1005610914106,0.9098147393344597,5.203435900672701e+17,0.5014370999997482
143,LGBM,11508945.077953871,3392.4836149867947,1783.143223185197,0.9177180465888559,3.054438982171096e+17,0.25911809992976487
144,Ada Boost,15363090.489719486,3919.577845855276,2628.037329722333,0.8998780594008697,8.90889907200658e+17,1.7756214999826625
145,Bagging,10471007.60385297,3235.8936329633843,1643.0010169827588,0.9317599800621137,8237615803226957.0,1.6300026000244543
146,Boosting,8849263.697121225,2974.7712008020426,1537.4118461419405,0.9423289568708784,2.232648505551624e+17,5.265007099951617
147,Random Forest,9885623.730287911,3144.141175311298,1616.57282908908,0.9355749526716931,7175885015080133.0,13.083972100052051
148,XGBoost,12720149.539628977,3566.531864378752,2081.7331202655805,0.9171022225332189,7.69714005900158e+17,0.5621451999759302
149,LGBM,9431544.234193815,3071.0819321851077,1763.3429833196108,0.9385342088425553,6.1055018155588e+17,0.2453226000070572
150,Ada Boost,14484710.572711658,3805.8784232699363,2510.613944935013,0.9056025001918016,8.65057171606869e+17,1.3899184999754652
151,Bagging,11497605.035319025,3390.8118548983257,1706.5372044396552,0.9250695991702453,1.5998421796043264e+16,1.7340696000028402
152,Boosting,8877301.257175112,2979.4800313435753,1527.7263586536224,0.942146234851234,2.5317094308325363e+17,5.580536799971014
153,Random Forest,10121526.017211404,3181.434584776403,1609.9678727528733,0.9340375670282018,7617655105657220.0,15.1208129998995
154,XGBoost,12097480.94454099,3478.1433185740048,2062.813796742966,0.9211601813229598,8.370853936591916e+17,0.501098999986425
155,LGBM,9178289.019520665,3029.5691144980774,1712.0115557287413,0.9401846842841269,6.837241106635894e+17,0.3168756999075413
156,Ada Boost,16926107.591730047,4114.1350964364365,2606.6985900372542,0.8790530895189631,8.978174110379084e+17,2.308358500013128
157,Bagging,13157274.769348627,3627.29579292186,1809.8034435156248,0.9059835981144109,8788500234711229.0,2.12727330008056
158,Boosting,11092885.728934871,3330.598404031154,1693.584846126595,0.920734861812566,2.1306752171954416e+17,6.964083699975163
