,model,mse,rmse,mae,r2,mape,time,i,train,test
1129,Boosting,0.01221464486347318,0.11051988447095473,0.07229510175597281,-0.02128172321996713,2406925083255.1865,0.8891723999986425,4,4992,5986
1130,DecisionTree,0.011797702764677268,0.10861723051467141,0.052884582694339884,0.013579326765579602,2301080077743.601,0.005507600028067827,4,4992,5986
1131,LassoReg,0.011975450149954617,0.1094323999095086,0.04648676760886289,-0.0012823542708249036,2262157331507.794,0.0020899000810459256,4,4992,5986
1132,PCR,0.011427473767985323,0.10689936280439338,0.054527849944769544,0.04453463590094764,2321351629159.3096,0.00797420006711036,4,4992,5986
1133,Bagging,0.014582051360142081,0.1207561648949737,0.08719990948957532,-0.2192235392534685,2249492470621.032,0.22848360007628798,4,4992,5986
1134,RF,0.013924773930977224,0.11800327932297994,0.08474451906635273,-0.1642677519183462,2222419400387.345,2.10735389997717,4,4992,5986
1135,LinearReg,0.011264171249580499,0.10613280006473258,0.056560948902130724,0.058188563564565254,2236731729417.825,0.010505500016734004,4,4992,5986
1136,BayesRidge,0.011253828934978583,0.1060840654150216,0.05631877707289175,0.059053297414528694,2240350149092.669,0.0062686000019311905,4,4992,5986
1137,RidgeReg,0.01126298834357293,0.10612722715483021,0.05651982600409107,0.058287467814285066,2237443830645.358,0.003367799916304648,4,4992,5986
1138,PLS,0.011706129986368457,0.10819487042539705,0.06043768369027352,0.021235841210050288,2165819193195.5017,0.005679899943061173,4,4992,5986
1139,XGBoost,0.012824644105648179,0.11324594520621116,0.06967780243134308,-0.07228452225134352,2657125762311.5576,0.15395599999465048,4,4992,5986
1140,AdaBoost,0.011876276884279868,0.10897833217791447,0.0868282606779466,-0.6435299546805344,0.24454288748697206,0.20327980001457036,5,5987,6981
1141,Boosting,0.0073132022115364285,0.08551726265226471,0.04895000254432115,-0.012056810093886927,0.16874367887660813,0.9497530000517145,5,5987,6981
1142,DecisionTree,0.006956863371363047,0.08340781361097441,0.04020125967645305,0.037256081778504146,0.15045255710796518,0.0062012000707909465,5,5987,6981
1143,LassoReg,0.007226078978022488,0.08500634669259989,0.031192313981408655,-3.123768488322298e-08,0.1375909848361981,0.0026219000574201345,5,5987,6981
1144,PCR,0.0069899512103186075,0.08360592808119893,0.0418377006499341,0.03267713376398873,0.1595032786009394,0.009490700089372694,5,5987,6981
1145,Bagging,0.008568179788963423,0.09256446288378399,0.054634756844037825,-0.1857301978947259,0.1791553718084871,0.27195940003730357,5,5987,6981
