,model,mape,mae,time
14,LassoReg,0.6106389944003776,0.04084802471310553,0.006661799969151616
21,PLS,0.6185084314637105,0.045897250502197944,0.018095900071784854
19,BayesRidge,0.6185942828227501,0.04596346425190261,0.012682200060226023
20,RidgeReg,0.6190314309095508,0.046009750750385846,0.005257299984805286
18,LinearReg,0.6192580318444457,0.046022859842308875,0.017195400083437562
259,RF,0.6196889685113517,0.0381949199390687,21.236234899959527
15,PCR,0.6299887515565298,0.04570775157185423,0.02856520004570484
82,Bagging,0.6386435055980844,0.04241024290710134,2.9212747000856325
247,Bagging,0.7616137938399582,0.04293266594747559,1.8332461999962106
88,AdaBoost,0.7641185598151824,0.0459145166140775,1.2017027999972925
77,AdaBoost,0.7645876568457867,0.04900769408836168,3.0220390999456868
236,Bagging,0.7730186043940834,0.04304077188003714,2.3063987999921665
319,AdaBoost,0.7764643606997791,0.042574015672908305,0.7504173999186605
99,AdaBoost,0.786654781724349,0.04451601155689908,1.1637255999958143
89,Boosting,0.7909873901787993,0.04075219480767784,4.169640799984336
98,PLS,0.800326605436015,0.04572937336646416,0.025945000001229346
100,Boosting,0.8004811029576127,0.03999130486808387,3.827024500002153
237,RF,0.8004999699241362,0.03868296326412633,19.492304599960335
91,LassoReg,0.805106288177653,0.03978920212502488,0.007679700036533177
96,BayesRidge,0.8060003037573964,0.04566104666578947,0.021620000014081597
90,DecisionTree,0.8060423642200902,0.04078372208736038,0.026539299986325204
97,RidgeReg,0.806540051967367,0.045693610237457404,0.010932100005447865
95,LinearReg,0.8066682450675364,0.04570042160674257,0.027326200040988624
92,PCR,0.807960055957778,0.04458306628066874,0.03714209992904216
253,AdaBoost,0.814495420453468,0.047413075509855296,1.005978199886158
66,AdaBoost,0.8149748116827006,0.045211088994196756,2.178085900028236
254,Boosting,0.8241037431464784,0.04058702602750519,3.953710199915804
78,Boosting,0.8260387207993138,0.040590080187106345,4.801626599975862
79,DecisionTree,0.8346263341187766,0.040500709888881,0.022805699962191284
80,LassoReg,0.835350325060629,0.039700809063037065,0.012775099952705204
110,AdaBoost,0.8357439685273819,0.04534333232990394,0.7208431999897584
87,PLS,0.8397322747966584,0.04523622796663933,0.031234499998390675
320,Boosting,0.8397579724138973,0.04088742350591923,5.7756062999833375
85,BayesRidge,0.8411895891987333,0.04530777023609759,0.0325769999762997
86,RidgeReg,0.8418346609174809,0.0453484671014649,0.01059790002182126
84,LinearReg,0.842136192865022,0.045359979252857764,0.04437700007110834
255,DecisionTree,0.8504241587039385,0.04059525337841568,0.02890729997307062
256,LassoReg,0.8505371674124328,0.03999176915068497,0.007126300013624132
322,LassoReg,0.8539003546183304,0.039687595420374165,0.008868200005963445
81,PCR,0.8539842836712087,0.04510433927075135,0.04252680006902665
329,PLS,0.8543734453021917,0.04580791983555777,0.021184699959121644
321,DecisionTree,0.8543743506268475,0.04066654083076974,0.03593419992830604
263,PLS,0.855219085559581,0.045542034067819794,0.030914400005713105
326,LinearReg,0.8569095906142951,0.04584026401838995,0.024710800033062696
327,BayesRidge,0.8569667245916444,0.045792545304936504,0.01711100002285093
328,RidgeReg,0.8569819946858293,0.0458307081516005,0.006347900023683906
261,BayesRidge,0.8574160683955162,0.04559092663303818,0.021066499990411103
262,RidgeReg,0.857815507316562,0.045623566276831194,0.010493799927644432
260,LinearReg,0.8579587772076592,0.04563024979475299,0.026901200064457953
67,Boosting,0.8625401415162609,0.040479915404558336,5.327110699960031
323,PCR,0.8652338932533072,0.044653383489761674,0.047280199942179024
101,DecisionTree,0.8660652484869568,0.039891391200399355,0.023052999982610345
257,PCR,0.867056489785899,0.045094762039611984,0.036246799980290234
102,LassoReg,0.8677027807839622,0.039536497500213943,0.013217999949119985
109,PLS,0.8705755907926058,0.04485441027160218,0.020918500027619302
107,BayesRidge,0.8736019578841082,0.04482787875325905,0.015094100032001734
108,RidgeReg,0.8738547945671292,0.044859215773336965,0.010238700080662966
106,LinearReg,0.8738845203053257,0.04486526445527077,0.026537699974142015
68,DecisionTree,0.8821563371662691,0.03903713580863069,0.023732599918730557
103,PCR,0.8839267786959392,0.04469664641737096,0.04304050002247095
69,LassoReg,0.8847948319359141,0.03931141007769263,0.008642600034363568
76,PLS,0.8884854604261176,0.045589111074713314,0.03494990000035614
74,BayesRidge,0.8905432071599912,0.04557770239910331,0.025800899951718748
73,LinearReg,0.8905945145657383,0.04561909223681687,0.03774790000170469
75,RidgeReg,0.8906221515995975,0.0456124432575961,0.01519389997702092
70,PCR,0.9028143949057786,0.04485515292386209,0.03892310010269284
242,AdaBoost,0.9066562050601246,0.048160442704856976,0.8512138000223786
121,AdaBoost,0.9096045249033504,0.04428809218602366,0.7473621000535786
233,DecisionTree,0.9123260216144954,0.040382986620167136,0.03134929994121194
